'mca File', 'Isotope', 'Energy', 'ChInit', 'ChFinal', 'p0', 'p1', 'p2', 'p3', 'p4', 'CanvasTitle'
20221021_Co60_g3_7200s_th1.mca,Co60,1173,3942,3953,24431,3947,2.6,0,2.91, Peak ^{60}Co #rightarrow 1173 [keV]
20221021_Co60_g3_7200s_th1.mca,Co60,1332,4479,4490,20084,4484,2.65,0,9.77, Peak ^{60}Co #rightarrow 1332 [keV]
20221025_Na22_g3_7200s.mca,Na22,511,1715,1721,87078,1718,3.72,0,2.87, Peak ^{22}Na #rightarrow 511 [keV] 
20221025_Na22_g3_7200s.mca,Na22,1274.57,4282,4295,17373,4288,2.82,0,1.14, Peak ^{22}Na #rightarrow 1274.5 [keV] 
20221025_Cs137_g5_7200s.mca,Cs137,661.65,3838,3856,6670,3847,3.76,0,2.24, Peak ^{137}Cs #rightarrow 661.65 [keV] 
20221021_Zn65_g5_7200s.mca,Zn65,1115.53,6231,6247,502,6239,3.48,0,-8.5, Peak ^{65}Zn #rightarrow 1115.53 [keV] 
20221021_Co57_g5_7200s.mca,Co57,122,677,691,8624,683,2.39,0,-5, Peak ^{57}Co #rightarrow 122 [keV] 
20221021_Co57_g5_7200s.mca,Co57,136,755,774,953,763,2.16,0,12, Peak ^{57}Co #rightarrow 122 [keV] 
20221021_Mn54_g5_7200s.mca,Mn54,834.84,4657,4678,3402,4668,3.86,0,11, Peak ^{54}Mn #rightarrow 834.84 [keV] 
20221018_cd109_g10_5400s_th1.mca,Cd109,88.03,985,1005,1729,995,4.65,0,13, Peak ^{109}Cd #rightarrow 88.03 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,53.16,595,612,3300,603.38,3.9,0,178, Peak ^{133}Ba #rightarrow 53.161 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,80.9,903,930,62300,916,4.8,0,743, Peak ^{133}Ba #rightarrow 80.9 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,276.39,3097,3137,5118,3116,4.54,0,37, Peak ^{133}Ba #rightarrow 276.39 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,302.85,3398,3430,15730,3413,5.58,0,76, Peak ^{133}Ba #rightarrow 302.85 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,356,3993,4032,44375,4012,5.79,0,35, Peak ^{133}Ba #rightarrow 356.01 [keV] 
20221018_ba133_g10_3600s_th1.mca,Ba133,383.85,4312,4342,5400,4326,6.22,0,18, Peak ^{133}Ba #rightarrow 383.85 [keV] 
